Code,Name
A,ANKLETS
B,BRACELETS
E,EARRINGS
EW,EYEWEAR
HT,HAIR TIES
N,NECKLACES
PC,PHONE CHAINS
R,RINGS
WC,WAISTCHAIN
H,HANDCHAIN
